hgnc	status	subcellular_location
IKZF5	Supported	Plasma membrane
BLNK	Supported	Cytosol
SORBS1	Supported	Focal adhesion sites
SORBS1	Supported	Plasma membrane
MYO3A	Supported	Actin filaments
WAC	Supported	Nucleoplasm
CREM	Supported	Nucleus
HIVEP1	Supported	Nuclear bodies
HIVEP1	Supported	Nucleoplasm
TREM2	Supported	Vesicles
SRPK1	Supported	Cytosol
SRPK1	Supported	Nucleus
PGC	Supported	Nucleus
CDC5L	Supported	Nucleoplasm
HNRNPH3	Supported	Nucleoplasm
JAK2	Supported	Nucleoplasm
ABL1	Supported	Nuclear bodies
ACOT7	Supported	Cytosol
SH3GLB1	Supported	Cytosol
CDC7	Supported	Cytokinetic bridge
CDC7	Supported	Mitotic spindle
CDC7	Supported	Nucleoplasm
PCSK5	Supported	Golgi apparatus
TMED1	Supported	Vesicles
ABLIM1	Supported	Cytosol
PALMD	Supported	Actin filaments
FAM21A	Supported	Vesicles
MZF1	Supported	Nucleus
MYO9B	Supported	Cytosol
HSD3B7	Supported	Lipid droplets
SETD1A	Supported	Nuclear speckles
CIRBP	Supported	Nucleus
IGFALS	Supported	Nucleoplasm
TECR	Supported	Endoplasmic reticulum
TIMM13	Supported	Mitochondria
CDC34	Supported	Cytosol
CDC34	Supported	Nuclear speckles
MTAP	Supported	Cytosol
POLR2E	Supported	Nucleoplasm
POLRMT	Supported	Mitochondria
RASSF7	Supported	Microtubule organizing center
MKNK2	Supported	Nuclear bodies
MKNK2	Supported	Nucleoli
MKNK2	Supported	Nucleus
ARVCF	Supported	Cell Junctions
RANBP1	Supported	Cytosol
MED15	Supported	Nucleus
SNAP29	Supported	Cytosol
SNAP29	Supported	Nucleoplasm
SMARCB1	Supported	Nucleoli fibrillar center
SMARCB1	Supported	Nucleoplasm
BCL2L13	Supported	Mitochondria
TBC1D10A	Supported	Plasma membrane
SEC14L2	Supported	Cytosol
SEC14L2	Supported	Nucleus
SPECC1L	Supported	Actin filaments
SNRPD3	Supported	Cytosol
SNRPD3	Supported	Nuclear bodies
SNRPD3	Supported	Nucleoplasm
GGA1	Supported	Nucleoplasm
GGA1	Supported	Vesicles
PATZ1	Supported	Nucleoplasm
GCAT	Supported	Nucleoplasm
MICALL1	Supported	Cell Junctions
MICALL1	Supported	Cytosol
MICALL1	Supported	Microtubule organizing center
SOX10	Supported	Nucleoplasm
TCF20	Supported	Nuclear bodies
TCF20	Supported	Nucleoplasm
HSCB	Supported	Cytosol
HSCB	Supported	Mitochondria
RTCB	Supported	Cytosol
RTCB	Supported	Nucleoplasm
FBXO7	Supported	Cytosol
FBXO7	Supported	Nucleus
POLDIP3	Supported	Cytoplasmic bodies
PPP6R2	Supported	Cytosol
SUN2	Supported	Nuclear membrane
PACSIN2	Supported	Plasma membrane
PACSIN2	Supported	Vesicles
AP1B1	Supported	Golgi apparatus
AP1B1	Supported	Vesicles
MCAT	Supported	Mitochondria
THOC5	Supported	Nucleoplasm
TSPO	Supported	Mitochondria
CBX7	Supported	Cytosol
CBX7	Supported	Nucleoplasm
RPL3	Supported	Cytosol
RPL3	Supported	Nucleoli
ZMAT5	Supported	Nucleoplasm
RBFOX2	Supported	Nucleoplasm
SYNGR1	Supported	Cytosol
MTMR3	Supported	Cytosol
MTMR3	Supported	Nucleoplasm
EIF3D	Supported	Cytosol
SGSM3	Supported	Golgi apparatus
NCF4	Supported	Cytosol
SLC25A17	Supported	Peroxisomes
RBX1	Supported	Nucleoplasm
ACO2	Supported	Mitochondria
POLR3H	Supported	Centrosome
POLR3H	Supported	Nucleoplasm
POLR3H	Supported	Vesicles
TRMU	Supported	Mitochondria
BRD1	Supported	Nuclear speckles
ZBED4	Supported	Nucleoplasm
FKBP3	Supported	Cytosol
POLE2	Supported	Nuclear bodies
POLE2	Supported	Nucleoplasm
NIN	Supported	Nucleoli
PYGL	Supported	Cytosol
PYGL	Supported	Plasma membrane
TRIM9	Supported	Cytosol
CGRRF1	Supported	Nucleoplasm
VTI1B	Supported	Golgi apparatus
AHSA1	Supported	Cytosol
ISM2	Supported	Nucleoplasm
PPM1A	Supported	Cytosol
CEP128	Supported	Microtubule organizing center
HIF1A	Supported	Nuclear bodies
HIF1A	Supported	Nucleoplasm
EIF5	Supported	Cytosol
EIF5	Supported	Plasma membrane
DICER1	Supported	Cytosol
TELO2	Supported	Cytosol
TELO2	Supported	Nuclear bodies
VRK1	Supported	Cytosol
VRK1	Supported	Nucleus
PPP4R3A	Supported	Nucleoplasm
PSMB5	Supported	Centrosome
PSMB5	Supported	Nucleus
YY1	Supported	Nucleoli fibrillar center
YY1	Supported	Nucleoplasm
ACIN1	Supported	Nucleoplasm
ARHGAP5	Supported	Cytosol
SRP54	Supported	Cytosol
CHD8	Supported	Nucleoplasm
KIAA0391	Supported	Mitochondria
PSMA6	Supported	Cytosol
PSMA6	Supported	Nucleoplasm
BRMS1L	Supported	Nucleoplasm
NFATC4	Supported	Cytosol
NFATC4	Supported	Nuclear speckles
PCIF1	Supported	Cytokinetic bridge
PCIF1	Supported	Microtubules
PCIF1	Supported	Nucleoplasm
GSS	Supported	Nucleus
SGK2	Supported	Nucleoplasm
HNF4A	Supported	Nucleoplasm
NFATC2	Supported	Cytosol
NFATC2	Supported	Nucleoplasm
STK4	Supported	Nuclear bodies
RAE1	Supported	Nucleoli fibrillar center
RAE1	Supported	Nucleus
NELFCD	Supported	Nuclear bodies
NELFCD	Supported	Nucleoplasm
CTSZ	Supported	Vesicles
TUBB1	Supported	Microtubules
NTSR1	Supported	Plasma membrane
MRGBP	Supported	Nucleus
TCFL5	Supported	Nucleoplasm
GID8	Supported	Cell Junctions
GID8	Supported	Nucleoplasm
BIRC7	Supported	Cytosol
BIRC7	Supported	Nucleus
ARFGAP1	Supported	Golgi apparatus
ARFGAP1	Supported	Vesicles
PTK6	Supported	Cytosol
PTK6	Supported	Nucleoplasm
PTK6	Supported	Plasma membrane
RNF24	Supported	Golgi apparatus
ARFRP1	Supported	Golgi apparatus
TRIB3	Supported	Nuclear membrane
TRIB3	Supported	Nucleoli
TRIB3	Supported	Nucleus
RASSF2	Supported	Cytosol
RASSF2	Supported	Nucleoplasm
CSNK2A1	Supported	Nucleoplasm
HM13	Supported	Endoplasmic reticulum
MYLK2	Supported	Endoplasmic reticulum
SEC23B	Supported	Vesicles
SAMHD1	Supported	Nucleoplasm
JAG1	Supported	Golgi apparatus
JAG1	Supported	Plasma membrane
E2F1	Supported	Centrosome
RPRD1B	Supported	Nucleoplasm
CST3	Supported	Golgi apparatus
CST3	Supported	Vesicles
AHCY	Supported	Cytosol
PPP1R16B	Supported	Nuclear speckles
PPP1R16B	Supported	Plasma membrane
MAP1LC3A	Supported	Microtubule organizing center
SYNDIG1	Supported	Vesicles
ACOT8	Supported	Vesicles
RBFA	Supported	Mitochondria
USP14	Supported	Cytosol
LPIN2	Supported	Actin filaments
LPIN2	Supported	Cytosol
LPIN2	Supported	Plasma membrane
SMAD7	Supported	Cytosol
SMAD7	Supported	Nucleoplasm
ANKRD12	Supported	Nucleoplasm
NOL4	Supported	Nucleus
POLI	Supported	Nuclear speckles
RBBP8	Supported	Nucleoplasm
PSMD10	Supported	Cytosol
PSMD10	Supported	Intermediate filaments
POLA1	Supported	Nucleoplasm
NKAP	Supported	Nucleoplasm
NXT2	Supported	Cytosol
NXT2	Supported	Nucleoplasm
WDR13	Supported	Nucleoplasm
XIAP	Supported	Cytosol
XIAP	Supported	Nucleoplasm
BMX	Supported	Plasma membrane
PLS3	Supported	Cytosol
ELF4	Supported	Nuclear bodies
SMARCA1	Supported	Nucleoplasm
ASB9	Supported	Cytosol
ASB9	Supported	Nucleus
RBBP7	Supported	Nucleoplasm
SLC35A2	Supported	Golgi apparatus
EMD	Supported	Endoplasmic reticulum
EEA1	Supported	Vesicles
GPR50	Supported	Plasma membrane
RP2	Supported	Plasma membrane
USP11	Supported	Nucleoplasm
VGLL1	Supported	Nucleus
KLHL4	Supported	Microtubules
PIN4	Supported	Nucleoli
PIN4	Supported	Nucleus
RBM3	Supported	Nucleoplasm
KLF8	Supported	Nucleoplasm
CENPI	Supported	Nuclear bodies
KIAA0226L	Supported	Cytosol
KLF5	Supported	Nucleoplasm
STK24	Supported	Cytosol
STK24	Supported	Nucleoli
SGCG	Supported	Nucleoplasm
PARP4	Supported	Cytosol
SUPT20H	Supported	Nucleoli fibrillar center
MRPS31	Supported	Mitochondria
FLT1	Supported	Plasma membrane
RGCC	Supported	Nucleoli
RGCC	Supported	Nucleus
INTS6	Supported	Nucleoplasm
DHRS12	Supported	Nucleoplasm
ZNF629	Supported	Nucleus
HSF4	Supported	Nuclear speckles
LYRM1	Supported	Nucleoplasm
NFAT5	Supported	Cytosol
NFAT5	Supported	Nucleus
CTCF	Supported	Nucleoplasm
POLR2C	Supported	Cytosol
POLR2C	Supported	Microtubules
POLR2C	Supported	Nucleoplasm
PARD6A	Supported	Actin filaments
PARD6A	Supported	Cell Junctions
PARD6A	Supported	Cytosol
ZNF821	Supported	Nuclear speckles
USB1	Supported	Nucleus
SETD6	Supported	Nucleus
SMPD3	Supported	Endoplasmic reticulum
CMC2	Supported	Mitochondria
AXIN1	Supported	Nucleoli
AXIN1	Supported	Vesicles
HSDL1	Supported	Mitochondria
TAF1C	Supported	Nucleoli fibrillar center
NME4	Supported	Mitochondria
ABCC1	Supported	Plasma membrane
CLCN7	Supported	Nucleoplasm
SLC7A5	Supported	Cytosol
SLC7A5	Supported	Plasma membrane
STUB1	Supported	Cytosol
STUB1	Supported	Nucleoplasm
NUBP1	Supported	Cytosol
CRYM	Supported	Cytosol
ZNF174	Supported	Nucleoplasm
CLUAP1	Supported	Nucleoplasm
EARS2	Supported	Mitochondria
CPPED1	Supported	Cytosol
CPPED1	Supported	Plasma membrane
DNAJA3	Supported	Mitochondria
CORO7-PAM16	Supported	Mitochondria
PYCARD	Supported	Cytosol
PYCARD	Supported	Nucleoli
PYCARD	Supported	Nucleus
RPGRIP1L	Supported	Cytosol
MAZ	Supported	Nucleus
BCKDK	Supported	Mitochondria
KAT8	Supported	Nucleoplasm
CCP110	Supported	Centrosome
KNOP1	Supported	Nucleoli
AAGAB	Supported	Cytosol
LACTB	Supported	Mitochondria
TRIP4	Supported	Nuclear bodies
TRIP4	Supported	Nucleoplasm
RAB11A	Supported	Microtubule organizing center
CTSH	Supported	Vesicles
HOMER2	Supported	Cytosol
TMEM87A	Supported	Golgi apparatus
CEP152	Supported	Centrosome
FAM189A1	Supported	Nucleus
GABPB1	Supported	Nucleoplasm
SPG11	Supported	Cytosol
SPG11	Supported	Nucleoli
SPG11	Supported	Plasma membrane
OIP5	Supported	Nucleoplasm
MYEF2	Supported	Nucleoplasm
CSPP1	Supported	Microtubule organizing center
EYA1	Supported	Nuclear bodies
EYA1	Supported	Nucleoplasm
CPQ	Supported	Golgi apparatus
DECR1	Supported	Mitochondria
CALB1	Supported	Vesicles
IMPAD1	Supported	Golgi apparatus
UBE2W	Supported	Nucleoli
POP1	Supported	Nucleoli
JPH1	Supported	Nucleus
GDAP1	Supported	Mitochondria
NDRG1	Supported	Cytosol
NDRG1	Supported	Microtubules
ARMC1	Supported	Mitochondria
TRPS1	Supported	Nucleoplasm
SPAG1	Supported	Cytosol
SNX16	Supported	Vesicles
UBR5	Supported	Cytosol
UBR5	Supported	Nucleoplasm
GSDMD	Supported	Nucleoplasm
EEF1D	Supported	Nucleoli fibrillar center
EEF1D	Supported	Nucleus
ANXA13	Supported	Plasma membrane
DCTN6	Supported	Cytosol
DCTN6	Supported	Nucleoli
DCTN6	Supported	Plasma membrane
GSR	Supported	Cytosol
TNFRSF10A	Supported	Nucleoplasm
UBXN8	Supported	Endoplasmic reticulum
PPP2CB	Supported	Nucleoplasm
KLHDC4	Supported	Nucleoli
KCTD9	Supported	Cytosol
KCTD9	Supported	Intermediate filaments
KCTD9	Supported	Nucleoplasm
BNIP3L	Supported	Nuclear speckles
MAN2B1	Supported	Vesicles
NUCB1	Supported	Golgi apparatus
NUCB1	Supported	Microtubules
ECH1	Supported	Mitochondria
HNRNPL	Supported	Nucleoplasm
RELB	Supported	Nucleoplasm
ERCC2	Supported	Nucleoplasm
DMPK	Supported	Vesicles
PTOV1	Supported	Nucleus
MED25	Supported	Nucleoplasm
SNAPC2	Supported	Nuclear bodies
SNAPC2	Supported	Nucleoplasm
C19orf53	Supported	Nucleoli
C19orf53	Supported	Nucleus
ASF1B	Supported	Nucleoplasm
VRK3	Supported	Nucleus
FAM32A	Supported	Nucleoli
FAM32A	Supported	Nucleus
AKAP8	Supported	Nucleoplasm
ZNF419	Supported	Nucleoli fibrillar center
ZNF419	Supported	Nucleus
CASP14	Supported	Cytosol
URI1	Supported	Cytosol
URI1	Supported	Nucleoplasm
TIMM50	Supported	Mitochondria
TIMM50	Supported	Nucleoplasm
GPI	Supported	Cytosol
GPI	Supported	Plasma membrane
AKT2	Supported	Cytosol
AKT2	Supported	Nucleus
TBCB	Supported	Cytosol
PRKD2	Supported	Cytosol
PRKD2	Supported	Nucleoplasm
CACTIN	Supported	Nuclear speckles
CACTIN	Supported	Nucleoplasm
FZR1	Supported	Nuclear membrane
FZR1	Supported	Nucleoplasm
PLIN3	Supported	Cytosol
CD33	Supported	Plasma membrane
CEACAM5	Supported	Plasma membrane
BABAM1	Supported	Cytosol
BABAM1	Supported	Nuclear bodies
BABAM1	Supported	Nucleus
SULT2A1	Supported	Cytosol
KDELR1	Supported	Golgi apparatus
KDELR1	Supported	Vesicles
CYTH2	Supported	Cytosol
CYTH2	Supported	Plasma membrane
GRWD1	Supported	Nucleoli
LIG1	Supported	Nucleoplasm
ZNF175	Supported	Cytosol
ZNF175	Supported	Nucleoplasm
CAPS	Supported	Cytosol
GCDH	Supported	Mitochondria
PRPF31	Supported	Nucleus
TFPT	Supported	Nuclear membrane
TFPT	Supported	Nucleoplasm
CRTC1	Supported	Cytosol
CRTC1	Supported	Nuclear bodies
CRTC1	Supported	Nucleoplasm
FKBP8	Supported	Cytosol
FKBP8	Supported	Endoplasmic reticulum
FKBP8	Supported	Mitochondria
ZNF574	Supported	Nucleoplasm
ZNF85	Supported	Nucleus
CDK6	Supported	Cytosol
CDK6	Supported	Nucleoplasm
PMPCB	Supported	Mitochondria
DNAJC2	Supported	Cytosol
TWISTNB	Supported	Nucleoli fibrillar center
TWISTNB	Supported	Nucleus
PIK3CG	Supported	Plasma membrane
SP4	Supported	Cytosol
CBLL1	Supported	Nuclear speckles
ADAP1	Supported	Cytosol
TFEC	Supported	Nucleoplasm
CAV1	Supported	Golgi apparatus
MET	Supported	Cytosol
MET	Supported	Plasma membrane
DNAJB6	Supported	Nucleoplasm
HOXA3	Supported	Nucleoplasm
BRAT1	Supported	Nucleoplasm
SSBP1	Supported	Mitochondria
HOXA13	Supported	Nucleoplasm
CPVL	Supported	Endoplasmic reticulum
ABHD11	Supported	Mitochondria
PLEKHA8	Supported	Golgi apparatus
GARS	Supported	Cytosol
FAM188B	Supported	Cytosol
FAM188B	Supported	Vesicles
HSPB1	Supported	Plasma membrane
SNX8	Supported	Vesicles
TAF6	Supported	Nucleus
IMPDH1	Supported	Cytosol
IMPDH1	Supported	Rods & Rings
AP1S1	Supported	Golgi apparatus
AP1S1	Supported	Vesicles
NRF1	Supported	Nucleoplasm
TMEM106B	Supported	Endosomes
TMEM106B	Supported	Lysosomes
EZH2	Supported	Nucleoplasm
CHCHD3	Supported	Mitochondria
COA1	Supported	Mitochondria
BLVRA	Supported	Cytosol
URGCP	Supported	Cytosol
AEBP1	Supported	Vesicles
TBL2	Supported	Cytosol
LIMK1	Supported	Cytosol
LIMK1	Supported	Nuclear speckles
SPIN1	Supported	Nucleoplasm
TGFBR1	Supported	Plasma membrane
OGN	Supported	Endoplasmic reticulum
ASPN	Supported	Vesicles
TLE4	Supported	Nucleus
AKNA	Supported	Centrosome
AKNA	Supported	Nucleoplasm
DNM1	Supported	Nucleoplasm
AK1	Supported	Cytosol
CDC37L1	Supported	Cytosol
KANK1	Supported	Plasma membrane
CA9	Supported	Cytosol
TYRP1	Supported	Vesicles
CREB3	Supported	Cytosol
RGP1	Supported	Plasma membrane
DDX58	Supported	Cytosol
EDF1	Supported	Cytosol
EDF1	Supported	Nucleus
GLIS3	Supported	Nucleoplasm
BAG1	Supported	Nucleoplasm
RAPGEF1	Supported	Vesicles
APBA1	Supported	Golgi apparatus
SETX	Supported	Nucleus
EXOSC3	Supported	Nucleoplasm
PDLIM1	Supported	Actin filaments
GATA3	Supported	Nucleoplasm
RAB11FIP2	Supported	Vesicles
ERLIN1	Supported	Endoplasmic reticulum
EIF3A	Supported	Cytosol
ATE1	Supported	Nucleus
PLEKHA1	Supported	Cytosol
MICU1	Supported	Mitochondria
LIPA	Supported	Vesicles
GBF1	Supported	Golgi apparatus
ARHGAP21	Supported	Cell Junctions
ARHGAP21	Supported	Plasma membrane
SUFU	Supported	Nucleus
LHPP	Supported	Cytosol
LHPP	Supported	Nuclear speckles
BCCIP	Supported	Nucleoplasm
MTPAP	Supported	Mitochondria
PITRM1	Supported	Mitochondria
OBFC1	Supported	Nucleus
MAP3K8	Supported	Cytosol
FAM208B	Supported	Cytosol
FAM208B	Supported	Nucleus
SMC3	Supported	Nucleoplasm
SHOC2	Supported	Cytosol
CCDC6	Supported	Cytosol
RPL28	Supported	Cytosol
RPL28	Supported	Endoplasmic reticulum
PPIF	Supported	Mitochondria
TSPAN14	Supported	Vesicles
NUFIP2	Supported	Cytosol
NUFIP2	Supported	Nuclear bodies
NUFIP2	Supported	Nucleoplasm
RPL19	Supported	Cytosol
RPL19	Supported	Endoplasmic reticulum
RPL19	Supported	Nucleoli
PSMD3	Supported	Cytosol
PSMD3	Supported	Nucleoplasm
RAD51C	Supported	Cytosol
RAD51C	Supported	Mitochondria
RAD51C	Supported	Nucleus
SEPT4	Supported	Nucleoplasm
DHX40	Supported	Nucleus
KPNB1	Supported	Cytosol
KPNB1	Supported	Nuclear membrane
KPNB1	Supported	Nucleoplasm
GOSR2	Supported	Golgi apparatus
GOSR2	Supported	Nucleoplasm
PNPO	Supported	Cytosol
PNPO	Supported	Nucleoplasm
RPS6KB1	Supported	Nucleoplasm
CDK5RAP3	Supported	Cytosol
CBX1	Supported	Nuclear bodies
CBX1	Supported	Nucleus
RECQL5	Supported	Cytosol
RECQL5	Supported	Nucleus
MED13	Supported	Nucleus
PFN1	Supported	Cytosol
NUP88	Supported	Nucleoplasm
SLC6A4	Supported	Golgi apparatus
SLC6A4	Supported	Vesicles
BLMH	Supported	Cytosol
DRG2	Supported	Cytosol
AKAP10	Supported	Cytosol
DHX58	Supported	Cytosol
DHX58	Supported	Golgi apparatus
HSD17B1	Supported	Cytosol
MLX	Supported	Cytosol
MLX	Supported	Nucleoplasm
EZH1	Supported	Nucleoplasm
ALOX12	Supported	Cytosol
HDAC5	Supported	Cytosol
HDAC5	Supported	Nuclear speckles
SMURF2	Supported	Nuclear speckles
DUSP3	Supported	Nucleoplasm
EFTUD2	Supported	Nucleoplasm
RANGRF	Supported	Nucleoplasm
DPH1	Supported	Nucleoplasm
MAP2K6	Supported	Cytosol
MAP2K6	Supported	Nucleus
VTN	Supported	Endoplasmic reticulum
VTN	Supported	Vesicles
SUPT6H	Supported	Cytosol
SUPT6H	Supported	Nucleoplasm
PHOX2B	Supported	Nucleoplasm
ODAM	Supported	Cytosol
ODAM	Supported	Nucleoplasm
NFKB1	Supported	Cytosol
NFKB1	Supported	Nucleoplasm
MANBA	Supported	Vesicles
UBE2D3	Supported	Plasma membrane
MAPK10	Supported	Nucleoplasm
ELF2	Supported	Nuclear bodies
ELF2	Supported	Nucleoplasm
NDUFC1	Supported	Mitochondria
ZNF330	Supported	Nucleoli
RPL34	Supported	Cytosol
RPL34	Supported	Endoplasmic reticulum
RPL34	Supported	Nucleoli
GRPEL1	Supported	Mitochondria
GAR1	Supported	Nucleoli fibrillar center
FBXW7	Supported	Nucleoplasm
WHSC1	Supported	Nucleus
SH3D19	Supported	Cytosol
SH3D19	Supported	Nucleoplasm
KLF3	Supported	Nucleoplasm
PPARGC1A	Supported	Nucleoplasm
HTATIP2	Supported	Cytosol
CTSC	Supported	Vesicles
ELP4	Supported	Nucleoplasm
MTCH2	Supported	Mitochondria
C11orf63	Supported	Nucleoplasm
SNX15	Supported	Cytosol
LPXN	Supported	Nuclear speckles
EHD1	Supported	Plasma membrane
OSBP	Supported	Nucleus
DCPS	Supported	Cytosol
DCPS	Supported	Nucleoplasm
SUV420H1	Supported	Nucleus
FOXRED1	Supported	Mitochondria
CPT1A	Supported	Mitochondria
CCND1	Supported	Nucleoplasm
CHORDC1	Supported	Cytosol
CEP164	Supported	Centrosome
CEP164	Supported	Nucleoplasm
BIRC2	Supported	Cytosol
BIRC2	Supported	Nucleoli fibrillar center
BIRC2	Supported	Nucleus
UBE4A	Supported	Nuclear speckles
DDX6	Supported	Cytoplasmic bodies
CBL	Supported	Cytosol
HIPK3	Supported	Cytosol
HIPK3	Supported	Nuclear bodies
COMMD9	Supported	Nucleus
SLC15A3	Supported	Vesicles
MADD	Supported	Cytosol
PTPMT1	Supported	Mitochondria
CD81	Supported	Plasma membrane
ELMOD1	Supported	Cytosol
PITPNM1	Supported	Cytosol
AIP	Supported	Cytosol
NUP98	Supported	Nucleoplasm
NDUFS8	Supported	Mitochondria
PSMD9	Supported	Cytosol
PRPF40B	Supported	Nuclear bodies
PRDM4	Supported	Nucleoplasm
CAPRIN2	Supported	Cytosol
KCTD10	Supported	Nucleoplasm
SLC11A2	Supported	Mitochondria
CAMKK2	Supported	Cytosol
PTGES3	Supported	Cytosol
MYF5	Supported	Nucleoplasm
GLI1	Supported	Cytosol
GLI1	Supported	Nucleoplasm
PPM1H	Supported	Nucleoplasm
METAP2	Supported	Cytosol
LTA4H	Supported	Cytosol
LTA4H	Supported	Nucleoplasm
ELK3	Supported	Nucleoplasm
FOXM1	Supported	Nucleoli
FOXM1	Supported	Nucleus
VPS29	Supported	Cytosol
DUSP16	Supported	Nucleoplasm
CDKN1B	Supported	Nucleus
NAA25	Supported	Cytosol
OGFOD2	Supported	Nuclear bodies
OGFOD2	Supported	Nucleoplasm
OAS3	Supported	Cytosol
OAS3	Supported	Nucleoplasm
ARHGDIB	Supported	Cytosol
GTF2H3	Supported	Nucleoplasm
EIF2B1	Supported	Cytosol
DDX55	Supported	Cytosol
DDX55	Supported	Nucleoli
DDX55	Supported	Nucleus
FZD10	Supported	Nucleoplasm
RAB5B	Supported	Vesicles
MDM1	Supported	Centrosome
NUP107	Supported	Centrosome
NUP107	Supported	Nucleoplasm
TIMELESS	Supported	Nucleus
MRPL51	Supported	Mitochondria
NOP2	Supported	Nucleoli
COPS7A	Supported	Nucleoplasm
ING4	Supported	Nucleoplasm
C12orf57	Supported	Nuclear speckles
PTPN6	Supported	Nucleus
SLCO1B3	Supported	Plasma membrane
SUDS3	Supported	Nuclear bodies
CMAS	Supported	Nucleoli
HCFC2	Supported	Nucleoplasm
PHC1	Supported	Nucleus
COX6A1	Supported	Mitochondria
TDP2	Supported	Nuclear bodies
TDP2	Supported	Nucleoplasm
FRK	Supported	Cytosol
FRK	Supported	Nucleoplasm
DSE	Supported	Cytosol
DSE	Supported	Nucleoplasm
RSPH4A	Supported	Nucleus
GCNT2	Supported	Golgi apparatus
FAM184A	Supported	Golgi apparatus
MAN1A1	Supported	Golgi apparatus
HINT3	Supported	Cytosol
HINT3	Supported	Nucleoli
ULBP1	Supported	Plasma membrane
FBXO5	Supported	Nucleoplasm
FANCE	Supported	Nucleoplasm
MAPK14	Supported	Nuclear speckles
SRSF3	Supported	Nucleoplasm
RNF8	Supported	Nucleus
MDGA1	Supported	Golgi apparatus
MDGA1	Supported	Plasma membrane
MDN1	Supported	Nucleoli
BACH2	Supported	Cytosol
BACH2	Supported	Nucleus
BAG2	Supported	Nucleoplasm
FBXL4	Supported	Nuclear speckles
CCNC	Supported	Nucleoplasm
E2F3	Supported	Nucleoplasm
ASCC3	Supported	Cytosol
BVES	Supported	Cell Junctions
RPS12	Supported	Cytosol
FIG4	Supported	Vesicles
SLC39A7	Supported	Endoplasmic reticulum
QKI	Supported	Nucleoplasm
MDFI	Supported	Nucleoplasm
TFEB	Supported	Nucleoplasm
CCND3	Supported	Cytosol
CCND3	Supported	Plasma membrane
BYSL	Supported	Nucleus
TBP	Supported	Nucleoplasm
GLTSCR1L	Supported	Nucleoplasm
SRF	Supported	Nucleus
DNPH1	Supported	Cytosol
EXOC2	Supported	Vesicles
TMEM30A	Supported	Mitochondria
SENP6	Supported	Nucleoplasm
PRPF4B	Supported	Nuclear speckles
CLIC5	Supported	Plasma membrane
ERBB2IP	Supported	Nuclear speckles
ERBB2IP	Supported	Plasma membrane
CEP72	Supported	Centrosome
MAN2A1	Supported	Golgi apparatus
PAPD7	Supported	Golgi apparatus
PAPD7	Supported	Nuclear membrane
PAPD7	Supported	Nucleoplasm
GHR	Supported	Plasma membrane
HMGCS1	Supported	Cytosol
HMGCS1	Supported	Nucleus
HMGCS1	Supported	Plasma membrane
KIF20A	Supported	Nucleoplasm
LOX	Supported	Endoplasmic reticulum
APBB3	Supported	Cytosol
FAF2	Supported	Endoplasmic reticulum
PCDHB3	Supported	Vesicles
CLINT1	Supported	Vesicles
RASGRF2	Supported	Endoplasmic reticulum
CCNG1	Supported	Nucleoplasm
POLR3G	Supported	Nucleoplasm
DROSHA	Supported	Nucleoplasm
GOLPH3	Supported	Golgi apparatus
GOLPH3	Supported	Vesicles
SUB1	Supported	Nucleoli
SUB1	Supported	Nucleus
FAM172A	Supported	Cytosol
FAM172A	Supported	Nucleoplasm
TARS	Supported	Cytosol
RAD1	Supported	Nucleoplasm
SKP1	Supported	Nucleus
NR3C1	Supported	Mitochondria
PPWD1	Supported	Nuclear bodies
H2AFY	Supported	Nucleus
DPYSL3	Supported	Cytosol
SMAD5	Supported	Cytosol
SMAD5	Supported	Nucleoplasm
ERGIC1	Supported	Nucleoplasm
BNIP1	Supported	Endoplasmic reticulum
DBN1	Supported	Actin filaments
SMC4	Supported	Cytosol
SMC4	Supported	Nuclear speckles
ACTR8	Supported	Nucleus
TIMMDC1	Supported	Nucleus
NIT2	Supported	Cytosol
FAM162A	Supported	Cytosol
RBP1	Supported	Cytosol
RNF7	Supported	Nucleoplasm
TFDP2	Supported	Nucleus
XRN1	Supported	Cytosol
XRN1	Supported	Plasma membrane
PRKAR2A	Supported	Golgi apparatus
PRKAR2A	Supported	Microtubule organizing center
PRKAR2A	Supported	Vesicles
HES1	Supported	Nucleoplasm
USP4	Supported	Cytosol
ECT2	Supported	Nucleus
GNAI2	Supported	Cytosol
GNAI2	Supported	Plasma membrane
NPRL2	Supported	Cytosol
CBLB	Supported	Cytosol
GBE1	Supported	Cytosol
GBE1	Supported	Nucleoplasm
UMPS	Supported	Cytosol
SLC41A3	Supported	Plasma membrane
PLXNA1	Supported	Cytosol
PLXNA1	Supported	Nucleus
ATP6V1A	Supported	Cytosol
ATP6V1A	Supported	Nucleus
ATP6V1A	Supported	Vesicles
ABTB1	Supported	Cytosol
NEK11	Supported	Nucleoplasm
MAPKAPK3	Supported	Nucleoplasm
WDR48	Supported	Vesicles
GORASP1	Supported	Golgi apparatus
RRP9	Supported	Nucleus
ABCC5	Supported	Plasma membrane
ABHD14B	Supported	Cytosol
ABHD14B	Supported	Nucleoli
ABHD14B	Supported	Nucleus
ARHGEF26	Supported	Plasma membrane
NKTR	Supported	Cytosol
NKTR	Supported	Nucleoplasm
NKTR	Supported	Plasma membrane
NCL	Supported	Nucleus
EPB41L5	Supported	Plasma membrane
TFCP2L1	Supported	Nucleoli fibrillar center
SF3B6	Supported	Nucleoplasm
TP53I3	Supported	Vesicles
DNAJC27	Supported	Cytosol
